/
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/-r0CnHLAm2k_0__70eb4d5d_00_000000_000093.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/-r0CnHLAm2k_0__70eb4d5d_00_000000_000093.wav	78	49920
0fmc81KXbB0_0__8be49586_00_000000_000099	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/0fmc81KXbB0_0__8be49586_00_000000_000099.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/0fmc81KXbB0_0__8be49586_00_000000_000099.wav	83	53120
0v2N6w4m46s_0__964e9355_00_000000_000359	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/0v2N6w4m46s_0__964e9355_00_000000_000359.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/0v2N6w4m46s_0__964e9355_00_000000_000359.wav	302	192512
0v2N6w4m46s_0__964e9355_01_000299_000395	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/0v2N6w4m46s_0__964e9355_01_000299_000395.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/0v2N6w4m46s_0__964e9355_01_000299_000395.wav	79	50560
1wZuiC0RuPM_13__dd2295eb_00_000000_000169	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/1wZuiC0RuPM_13__dd2295eb_00_000000_000169.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/1wZuiC0RuPM_13__dd2295eb_00_000000_000169.wav	142	90880
1whXJLCrTjY_0__668dbcdc_00_000000_000075	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/1whXJLCrTjY_0__668dbcdc_00_000000_000075.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/1whXJLCrTjY_0__668dbcdc_00_000000_000075.wav	75	48000
2HddWQse8Mw_0__8ecb0409_00_000000_000072	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/2HddWQse8Mw_0__8ecb0409_00_000000_000072.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/2HddWQse8Mw_0__8ecb0409_00_000000_000072.wav	75	48000
2JuBrr6TW8o_14__39750242_00_000000_000112	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/2JuBrr6TW8o_14__39750242_00_000000_000112.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/2JuBrr6TW8o_14__39750242_00_000000_000112.wav	93	59520
2S0wKsrQYqI_1__fbb354d6_00_000000_000141	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/2S0wKsrQYqI_1__fbb354d6_00_000000_000141.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/2S0wKsrQYqI_1__fbb354d6_00_000000_000141.wav	118	75520
3PE65tkpaGw_0__dde8ee01_00_000000_000291	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/3PE65tkpaGw_0__dde8ee01_00_000000_000291.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/3PE65tkpaGw_0__dde8ee01_00_000000_000291.wav	243	155520
3Sd87aIMr3k_15__19014265_00_000000_000090	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/video/3Sd87aIMr3k_15__19014265_00_000000_000090.mp4	/home/ubuntu/auto_avsr/preprocessed_flat_seg12/audio/3Sd87aIMr3k_15__19014265_00_000000_000090.wav	75	48000
